Year,Env,Harvest,Planting_date,Block,biomass_Kg_response,N_uptake_Kg_response,growth_stage,GDD_Fall_C,GDD_T_C
year1,Minnesota,lateapril,earlyplanting2,block4,10417,220,59,499,1028
year1,Minnesota,lateapril,checkplanting,block1,7332,215,59,309,838
year1,Minnesota,lateapril,checkplanting,block2,5994,168,59,309,838
year1,Minnesota,lateapril,checkplanting,block3,13559,397,59,309,838
year1,Minnesota,lateapril,checkplanting,block4,6285,191,59,309,838
year1,Minnesota,lateapril,lateplanting1,block1,4190,141,59,182,711
year1,Minnesota,lateapril,lateplanting1,block2,5063,155,59,182,711
year1,Minnesota,lateapril,lateplanting1,block3,4946,156,59,182,711
year1,Minnesota,lateapril,lateplanting1,block4,6634,226,59,182,711
year1,Minnesota,lateapril,lateplanting2,block1,5645,213,55,86,615
year1,Minnesota,lateapril,lateplanting2,block2,6925,269,55,86,615
year1,Minnesota,lateapril,lateplanting2,block3,2968,118,55,86,615
year1,Minnesota,lateapril,lateplanting2,block4,9253,342,55,86,615
year1,Minnesota,may,earlyplanting1,block1,9369,99,71,726,1471
year1,Minnesota,may,earlyplanting1,block2,22230,402,69,726,1471
year1,Minnesota,may,earlyplanting1,block3,18389,271,69,726,1471
year1,Minnesota,may,earlyplanting1,block4,5587,120,69,726,1471
year1,Minnesota,may,earlyplanting2,block1,10300,167,69,499,1245
year1,Minnesota,may,earlyplanting2,block2,15945,229,69,499,1245
year1,Minnesota,may,earlyplanting2,block3,10649,181,69,499,1245
year1,Minnesota,may,earlyplanting2,block4,10242,151,69,499,1245
year1,Minnesota,may,checkplanting,block1,9486,188,69,309,1054
year1,Minnesota,may,checkplanting,block2,7798,154,69,309,1054
year1,Minnesota,may,checkplanting,block3,6925,122,69,309,1054
year1,Minnesota,may,checkplanting,block4,9078,149,69,309,1054
year1,Minnesota,may,lateplanting1,block1,13559,263,69,182,928
year1,Minnesota,may,lateplanting1,block2,5354,103,69,182,928
year1,Minnesota,may,lateplanting1,block3,7682,198,69,182,928
year1,Minnesota,may,lateplanting1,block4,8438,149,69,182,928
year1,Minnesota,may,lateplanting2,block1,9544,244,69,86,831
year1,Minnesota,may,lateplanting2,block2,6692,159,69,86,831
year1,Minnesota,may,lateplanting2,block3,9020,216,69,86,831
year1,Minnesota,may,lateplanting2,block4,7623,184,69,86,831
year1,Minnesota,june,earlyplanting1,block1,27002,293,87,726,1721
year1,Minnesota,june,earlyplanting1,block2,23045,346,85,726,1721
year1,Minnesota,june,earlyplanting1,block3,24092,358,87,726,1721
year1,Minnesota,june,earlyplanting1,block4,19902,330,87,726,1721
year1,Minnesota,june,earlyplanting2,block1,18855,264,87,499,1494
year1,Minnesota,june,earlyplanting2,block2,28049,380,87,499,1494
year1,Minnesota,june,earlyplanting2,block3,11813,170,87,499,1494
year1,Minnesota,june,earlyplanting2,block4,15538,142,87,499,1494
year1,Minnesota,june,checkplanting,block1,20426,312,83,309,1304
year1,Minnesota,june,checkplanting,block2,18913,261,87,309,1304
year1,Minnesota,june,checkplanting,block3,12686,231,87,309,1304
year1,Minnesota,june,checkplanting,block4,18447,239,83,309,1304
year1,Minnesota,june,lateplanting1,block1,10417,180,83,182,1177
year1,Minnesota,june,lateplanting1,block2,17109,235,87,182,1177
year1,Minnesota,june,lateplanting1,block3,19844,319,87,182,1177
year1,Minnesota,june,lateplanting1,block4,17109,217,87,182,1177
year1,Minnesota,june,lateplanting2,block1,13035,239,87,86,1081
year1,Minnesota,june,lateplanting2,block2,12744,249,87,86,1081
year1,Minnesota,june,lateplanting2,block3,11988,205,87,86,1081
year1,Minnesota,june,lateplanting2,block4,15130,285,83,86,1081
year1,Iowa,earlyapril,earlyplanting1,block1,3032,111,32,668,968
year1,Iowa,earlyapril,earlyplanting1,block2,3771,112,32,668,968
year1,Iowa,earlyapril,earlyplanting1,block3,2881,112,32,668,968
year1,Iowa,earlyapril,earlyplanting1,block4,2060,70,32,668,968
year1,Iowa,earlyapril,earlyplanting2,block1,2753,93,32,455,754
year1,Iowa,earlyapril,earlyplanting2,block2,3561,81,32,455,754
year1,Iowa,earlyapril,earlyplanting2,block3,2322,59,32,455,754
year1,Iowa,earlyapril,earlyplanting2,block4,1833,69,30,455,754
year1,Iowa,earlyapril,checkplanting,block1,1496,54,31,275,574
year1,Iowa,earlyapril,checkplanting,block2,1472,51,31,275,574
year1,Iowa,earlyapril,checkplanting,block3,989,42,31,275,574
year1,Iowa,earlyapril,checkplanting,block4,966,43,32,275,574
year1,Iowa,earlyapril,lateplanting1,block1,949,37,26,159,499
year1,Iowa,earlyapril,lateplanting1,block2,1274,53,27,159,499
year1,Iowa,earlyapril,lateplanting1,block3,1141,46,29,159,499
year1,Iowa,earlyapril,lateplanting1,block4,693,33,25,159,499
year1,Iowa,earlyapril,lateplanting2,block1,378,17,23,69,368
year1,Iowa,earlyapril,lateplanting2,block2,594,24,25,69,368
year1,Iowa,earlyapril,lateplanting2,block3,739,34,23,69,368
year1,Iowa,earlyapril,lateplanting2,block4,297,13,23,69,368
year1,Iowa,lateapril,earlyplanting1,block1,4830,116,59,668,1130
year1,Iowa,lateapril,earlyplanting1,block2,3957,78,59,668,1130
year1,Iowa,lateapril,earlyplanting1,block3,3957,77,59,668,1130
year1,Iowa,lateapril,earlyplanting1,block4,3433,53,59,668,1130
year1,Iowa,lateapril,earlyplanting2,block1,3201,64,59,455,916
year1,Iowa,lateapril,earlyplanting2,block2,3666,50,59,455,916
year1,Iowa,lateapril,earlyplanting2,block3,3783,57,59,455,916
year1,Iowa,lateapril,earlyplanting2,block4,3608,58,59,455,916
year1,Iowa,lateapril,checkplanting,block1,3433,77,59,275,736
year1,Iowa,lateapril,checkplanting,block2,2619,49,59,275,736
year1,Iowa,lateapril,checkplanting,block3,4423,120,59,275,736
year1,Iowa,lateapril,checkplanting,block4,3201,95,55,275,736
year1,Iowa,lateapril,lateplanting1,block1,2735,70,55,159,620
year1,Iowa,lateapril,lateplanting1,block2,2735,70,59,159,620
year1,Iowa,lateapril,lateplanting1,block3,3084,68,55,159,620
year1,Iowa,lateapril,lateplanting1,block4,2386,79,51,159,620
year1,Iowa,lateapril,lateplanting2,block1,1688,57,49,69,530
year1,Iowa,lateapril,lateplanting2,block2,1688,48,51,69,530
year1,Iowa,lateapril,lateplanting2,block3,2037,58,45,69,530
year1,Iowa,lateapril,lateplanting2,block4,1164,48,47,69,530
year1,Iowa,june,earlyplanting1,block1,9311,130,85,668,1577
year1,Iowa,june,earlyplanting1,block2,14257,173,85,668,1577
year1,Iowa,june,earlyplanting1,block3,8613,80,85,668,1577
year1,Iowa,june,earlyplanting1,block4,7623,78,85,668,1577
year1,Iowa,june,earlyplanting2,block1,8147,67,85,455,1364
year1,Iowa,june,earlyplanting2,block2,10300,109,85,455,1364
year1,Iowa,june,earlyplanting2,block3,8205,59,85,455,1364
year1,Iowa,june,earlyplanting2,block4,8147,92,85,455,1364
year1,Iowa,june,checkplanting,block1,8380,99,85,275,1184
year1,Iowa,june,checkplanting,block2,9544,94,85,275,1184
year1,Iowa,june,checkplanting,block3,12919,163,83,275,1184
year1,Iowa,june,checkplanting,block4,11522,177,83,275,1184
year1,Iowa,june,lateplanting1,block1,8845,121,81,159,1067
year1,Iowa,june,lateplanting1,block2,11290,106,83,159,1067
year1,Iowa,june,lateplanting1,block3,9369,130,83,159,1067
year1,Iowa,june,lateplanting1,block4,7798,104,83,159,1067
year1,Iowa,june,lateplanting2,block1,8031,111,77,69,978
year1,Iowa,june,lateplanting2,block2,8729,122,83,69,978
year1,Iowa,june,lateplanting2,block3,9136,113,83,69,978
year1,Iowa,june,lateplanting2,block4,5587,102,81,69,978
year1,Manitoba,lateapril,earlyplanting1,block1,1920,49,39,509,739
year1,Manitoba,lateapril,earlyplanting1,block2,2502,84,39,509,739
year1,Manitoba,lateapril,earlyplanting1,block3,1455,45,39,509,739
year1,Manitoba,lateapril,earlyplanting1,block4,2910,87,39,509,739
year1,Manitoba,lateapril,earlyplanting2,block1,1338,44,33,311,541
year1,Manitoba,lateapril,earlyplanting2,block2,3783,145,39,311,541
year1,Manitoba,lateapril,earlyplanting2,block3,2561,55,33,311,541
year1,Manitoba,lateapril,earlyplanting2,block4,1280,41,33,311,541
year1,Manitoba,lateapril,checkplanting,block1,757,35,30,135,365
year1,Manitoba,lateapril,checkplanting,block2,1397,71,33,135,365
year1,Manitoba,lateapril,checkplanting,block3,1164,79,25,135,365
year1,Manitoba,lateapril,checkplanting,block4,2270,113,33,135,365
year1,Manitoba,lateapril,lateplanting1,block1,175,11,25,53,283
year1,Manitoba,lateapril,lateplanting1,block2,233,15,30,53,283
year1,Manitoba,lateapril,lateplanting1,block3,233,15,30,53,283
year1,Manitoba,lateapril,lateplanting1,block4,349,22,25,53,283
year1,Manitoba,lateapril,lateplanting2,block1,524,34,41,5,235
year1,Manitoba,lateapril,lateplanting2,block2,0,0,0,5,235
year1,Manitoba,lateapril,lateplanting2,block3,0,0,0,5,235
year1,Manitoba,lateapril,lateplanting2,block4,0,0,0,5,235
year1,Manitoba,may,earlyplanting1,block1,3201,82,59,509,871
year1,Manitoba,may,earlyplanting1,block2,3492,53,59,509,871
year1,Manitoba,may,earlyplanting1,block3,3899,103,59,509,871
year1,Manitoba,may,earlyplanting1,block4,3899,62,59,509,871
year1,Manitoba,may,earlyplanting2,block1,3550,72,59,311,672
year1,Manitoba,may,earlyplanting2,block2,5354,103,59,311,672
year1,Manitoba,may,earlyplanting2,block3,5936,84,59,311,672
year1,Manitoba,may,earlyplanting2,block4,3550,75,55,311,672
year1,Manitoba,may,checkplanting,block1,4074,120,55,135,496
year1,Manitoba,may,checkplanting,block2,3433,98,55,135,496
year1,Manitoba,may,checkplanting,block3,291,15,45,135,496
year1,Manitoba,may,checkplanting,block4,1979,60,55,135,496
year1,Manitoba,may,lateplanting1,block1,1280,60,47,53,414
year1,Manitoba,may,lateplanting1,block2,2735,120,49,53,414
year1,Manitoba,may,lateplanting1,block3,1979,94,41,53,414
year1,Manitoba,may,lateplanting1,block4,1513,71,41,53,414
year1,Manitoba,may,lateplanting2,block1,524,30,45,5,366
year1,Manitoba,may,lateplanting2,block2,0,0,0,5,366
year1,Manitoba,may,lateplanting2,block3,349,19,41,5,366
year1,Manitoba,may,lateplanting2,block4,233,15,39,5,366
year1,Manitoba,june,earlyplanting1,block1,14839,276,69,509,1051
year1,Manitoba,june,earlyplanting1,block2,17051,241,65,509,1051
year1,Manitoba,june,earlyplanting1,block3,6343,56,65,509,1051
year1,Manitoba,june,earlyplanting1,block4,7623,93,65,509,1051
year1,Manitoba,june,earlyplanting2,block1,2968,39,65,311,852
year1,Manitoba,june,earlyplanting2,block2,8263,94,69,311,852
year1,Manitoba,june,earlyplanting2,block3,9777,76,65,311,852
year1,Manitoba,june,earlyplanting2,block4,7856,96,65,311,852
year1,Manitoba,june,checkplanting,block1,6110,90,65,135,676
year1,Manitoba,june,checkplanting,block2,6401,119,65,135,676
year1,Manitoba,june,checkplanting,block3,2851,67,61,135,676
year1,Manitoba,june,checkplanting,block4,5878,127,65,135,676
year1,Manitoba,june,lateplanting1,block1,9136,239,61,53,594
year1,Manitoba,june,lateplanting1,block2,5179,120,65,53,594
year1,Manitoba,june,lateplanting1,block3,4830,130,65,53,594
year1,Manitoba,june,lateplanting1,block4,5179,147,65,53,594
year1,Manitoba,june,lateplanting2,block1,2153,64,59,5,546
year1,Manitoba,june,lateplanting2,block2,582,22,59,5,546
year1,Manitoba,june,lateplanting2,block3,1338,51,59,5,546
year1,Manitoba,june,lateplanting2,block4,1338,47,59,5,546
year2,Minnesota,earlyapril,earlyplanting1,block1,4306,160,31,784,919
year2,Minnesota,earlyapril,earlyplanting1,block2,3433,146,31,784,919
year2,Minnesota,earlyapril,earlyplanting1,block3,2910,111,25,784,919
year2,Minnesota,earlyapril,earlyplanting1,block4,4946,206,25,784,919
year2,Minnesota,earlyapril,earlyplanting2,block1,3608,141,25,651,785
year2,Minnesota,earlyapril,earlyplanting2,block2,4423,178,25,651,785
year2,Minnesota,earlyapril,earlyplanting2,block3,3841,145,25,651,785
year2,Minnesota,earlyapril,earlyplanting2,block4,3666,144,25,651,785
year2,Minnesota,earlyapril,checkplanting,block1,1920,77,25,405,539
year2,Minnesota,earlyapril,checkplanting,block2,1920,100,25,405,539
year2,Minnesota,earlyapril,checkplanting,block3,1280,54,23,405,539
year2,Minnesota,earlyapril,checkplanting,block4,1571,63,25,405,539
year2,Minnesota,earlyapril,lateplanting1,block1,349,15,21,276,411
year2,Minnesota,earlyapril,lateplanting1,block2,291,14,25,276,411
year2,Minnesota,earlyapril,lateplanting1,block3,407,21,25,276,411
year2,Minnesota,earlyapril,lateplanting1,block4,291,15,23,276,411
year2,Minnesota,earlyapril,lateplanting2,block1,175,10,21,80,214
year2,Minnesota,earlyapril,lateplanting2,block2,109,6,21,80,214
year2,Minnesota,earlyapril,lateplanting2,block3,90,5,15,80,214
year2,Minnesota,earlyapril,lateplanting2,block4,87,5,17,80,214
year2,Minnesota,lateapril,earlyplanting1,block1,6634,253,41,784,1021
year2,Minnesota,lateapril,earlyplanting1,block2,5645,227,41,784,1021
year2,Minnesota,lateapril,earlyplanting1,block3,2386,81,29,784,1021
year2,Minnesota,lateapril,earlyplanting1,block4,3550,141,41,784,1021
year2,Minnesota,lateapril,earlyplanting2,block1,5005,181,41,651,888
year2,Minnesota,lateapril,earlyplanting2,block2,5761,229,41,651,888
year2,Minnesota,lateapril,earlyplanting2,block3,4248,142,41,651,888
year2,Minnesota,lateapril,earlyplanting2,block4,3899,137,39,651,888
year2,Minnesota,lateapril,checkplanting,block1,4248,189,39,405,642
year2,Minnesota,lateapril,checkplanting,block2,4015,166,35,405,642
year2,Minnesota,lateapril,checkplanting,block3,3492,123,41,405,642
year2,Minnesota,lateapril,checkplanting,block4,4830,184,31,405,642
year2,Minnesota,lateapril,lateplanting1,block1,931,43,37,276,513
year2,Minnesota,lateapril,lateplanting1,block2,2211,88,35,276,513
year2,Minnesota,lateapril,lateplanting1,block3,1106,38,33,276,513
year2,Minnesota,lateapril,lateplanting1,block4,1222,50,33,276,513
year2,Minnesota,lateapril,lateplanting2,block1,291,17,31,80,316
year2,Minnesota,lateapril,lateplanting2,block2,582,28,31,80,316
year2,Minnesota,lateapril,lateplanting2,block3,640,36,31,80,316
year2,Minnesota,lateapril,lateplanting2,block4,466,19,31,80,316
year2,Minnesota,may,earlyplanting1,block1,7682,253,57,784,1171
year2,Minnesota,may,earlyplanting1,block2,7449,222,55,784,1171
year2,Minnesota,may,earlyplanting1,block3,7100,173,59,784,1171
year2,Minnesota,may,earlyplanting1,block4,8787,238,59,784,1171
year2,Minnesota,may,earlyplanting2,block1,7391,194,57,651,1038
year2,Minnesota,may,earlyplanting2,block2,9951,278,57,651,1038
year2,Minnesota,may,earlyplanting2,block3,6634,187,57,651,1038
year2,Minnesota,may,earlyplanting2,block4,5645,166,55,651,1038
year2,Minnesota,may,checkplanting,block1,7332,228,59,405,792
year2,Minnesota,may,checkplanting,block2,6867,200,59,405,792
year2,Minnesota,may,checkplanting,block3,6692,188,59,405,792
year2,Minnesota,may,checkplanting,block4,7507,211,53,405,792
year2,Minnesota,may,lateplanting1,block1,4015,127,51,276,663
year2,Minnesota,may,lateplanting1,block2,4190,122,51,276,663
year2,Minnesota,may,lateplanting1,block3,3084,102,51,276,663
year2,Minnesota,may,lateplanting1,block4,4132,154,55,276,663
year2,Minnesota,may,lateplanting2,block1,3550,137,49,80,467
year2,Minnesota,may,lateplanting2,block2,2851,114,47,80,467
year2,Minnesota,may,lateplanting2,block3,3259,133,43,80,467
year2,Minnesota,may,lateplanting2,block4,3783,157,41,80,467
year2,Minnesota,june,earlyplanting1,block1,15014,379,65,784,1404
year2,Minnesota,june,earlyplanting1,block2,12919,260,65,784,1404
year2,Minnesota,june,earlyplanting1,block3,12279,206,65,784,1404
year2,Minnesota,june,earlyplanting1,block4,14083,264,65,784,1404
year2,Minnesota,june,earlyplanting2,block1,12046,219,65,651,1271
year2,Minnesota,june,earlyplanting2,block2,12453,226,65,651,1271
year2,Minnesota,june,earlyplanting2,block3,10533,209,53,651,1271
year2,Minnesota,june,earlyplanting2,block4,12861,316,65,651,1271
year2,Minnesota,june,checkplanting,block1,11115,233,61,405,1025
year2,Minnesota,june,checkplanting,block2,13035,284,61,405,1025
year2,Minnesota,june,checkplanting,block3,12162,259,61,405,1025
year2,Minnesota,june,checkplanting,block4,9369,183,65,405,1025
year2,Minnesota,june,lateplanting1,block1,9660,212,65,276,896
year2,Minnesota,june,lateplanting1,block2,10067,166,61,276,896
year2,Minnesota,june,lateplanting1,block3,8671,224,65,276,896
year2,Minnesota,june,lateplanting1,block4,9369,257,61,276,896
year2,Minnesota,june,lateplanting2,block1,7856,181,59,80,699
year2,Minnesota,june,lateplanting2,block2,5645,161,59,80,699
year2,Minnesota,june,lateplanting2,block3,9544,240,59,80,699
year2,Minnesota,june,lateplanting2,block4,8787,223,59,80,699
year2,Iowa,earlyapril,earlyplanting1,block1,317,15,25,685,792
year2,Iowa,earlyapril,earlyplanting1,block2,407,17,25,685,792
year2,Iowa,earlyapril,earlyplanting1,block3,466,23,24,685,792
year2,Iowa,earlyapril,earlyplanting1,block4,112,0,23,685,792
year2,Iowa,earlyapril,earlyplanting2,block1,206,8,21,565,672
year2,Iowa,earlyapril,earlyplanting2,block2,384,17,25,565,672
year2,Iowa,earlyapril,earlyplanting2,block3,581,35,25,565,672
year2,Iowa,earlyapril,earlyplanting2,block4,524,26,25,565,672
year2,Iowa,earlyapril,checkplanting,block1,582,26,25,355,462
year2,Iowa,earlyapril,checkplanting,block2,640,23,25,355,462
year2,Iowa,earlyapril,checkplanting,block3,524,22,25,355,462
year2,Iowa,earlyapril,checkplanting,block4,154,6,23,355,462
year2,Iowa,earlyapril,lateplanting1,block1,8,0,21,236,343
year2,Iowa,earlyapril,lateplanting1,block2,27,1,21,236,343
year2,Iowa,earlyapril,lateplanting1,block3,10,1,21,236,343
year2,Iowa,earlyapril,lateplanting1,block4,32,2,15,236,343
year2,Iowa,earlyapril,lateplanting2,block1,0,0,0,66,173
year2,Iowa,earlyapril,lateplanting2,block2,0,0,0,66,173
year2,Iowa,earlyapril,lateplanting2,block3,0,0,0,66,173
year2,Iowa,earlyapril,lateplanting2,block4,0,0,0,66,173
year2,Iowa,lateapril,earlyplanting1,block1,1280,60,35,685,912
year2,Iowa,lateapril,earlyplanting1,block2,2444,102,35,685,912
year2,Iowa,lateapril,earlyplanting1,block3,931,46,33,685,912
year2,Iowa,lateapril,earlyplanting1,block4,1047,47,35,685,912
year2,Iowa,lateapril,earlyplanting2,block1,204,8,35,565,792
year2,Iowa,lateapril,earlyplanting2,block2,2386,108,39,565,792
year2,Iowa,lateapril,earlyplanting2,block3,1513,72,35,565,792
year2,Iowa,lateapril,earlyplanting2,block4,2095,91,35,565,792
year2,Iowa,lateapril,checkplanting,block1,29,1,39,355,582
year2,Iowa,lateapril,checkplanting,block2,1804,66,35,355,582
year2,Iowa,lateapril,checkplanting,block3,2502,107,35,355,582
year2,Iowa,lateapril,checkplanting,block4,989,39,33,355,582
year2,Iowa,lateapril,lateplanting1,block1,233,14,31,236,463
year2,Iowa,lateapril,lateplanting1,block2,698,37,29,236,463
year2,Iowa,lateapril,lateplanting1,block3,175,9,27,236,463
year2,Iowa,lateapril,lateplanting1,block4,102,6,29,236,463
year2,Iowa,lateapril,lateplanting2,block1,0,0,0,66,293
year2,Iowa,lateapril,lateplanting2,block2,80,5,15,66,293
year2,Iowa,lateapril,lateplanting2,block3,67,4,21,66,293
year2,Iowa,lateapril,lateplanting2,block4,24,1,21,66,293
year2,Iowa,may,earlyplanting1,block1,6169,NA,57,685,1072
year2,Iowa,may,earlyplanting1,block2,6983,NA,57,685,1072
year2,Iowa,may,earlyplanting1,block3,5645,NA,55,685,1072
year2,Iowa,may,earlyplanting1,block4,6401,NA,57,685,1072
year2,Iowa,may,earlyplanting2,block1,7623,NA,59,565,952
year2,Iowa,may,earlyplanting2,block2,4714,NA,59,565,952
year2,Iowa,may,earlyplanting2,block3,7041,NA,59,565,952
year2,Iowa,may,earlyplanting2,block4,4888,NA,37,565,952
year2,Iowa,may,checkplanting,block1,5528,NA,59,355,742
year2,Iowa,may,checkplanting,block2,6110,NA,59,355,742
year2,Iowa,may,checkplanting,block3,5296,NA,57,355,742
year2,Iowa,may,checkplanting,block4,3259,NA,55,355,742
year2,Iowa,may,lateplanting1,block1,757,NA,51,236,623
year2,Iowa,may,lateplanting1,block2,3026,NA,51,236,623
year2,Iowa,may,lateplanting1,block3,1629,NA,47,236,623
year2,Iowa,may,lateplanting1,block4,1513,NA,41,236,623
year2,Iowa,may,lateplanting2,block1,116,NA,45,66,453
year2,Iowa,may,lateplanting2,block2,407,NA,45,66,453
year2,Iowa,may,lateplanting2,block3,1106,NA,43,66,453
year2,Iowa,may,lateplanting2,block4,1106,NA,43,66,453
year2,Iowa,june,earlyplanting1,block1,10126,227,65,685,1260
year2,Iowa,june,earlyplanting1,block2,7798,197,67,685,1260
year2,Iowa,june,earlyplanting1,block3,9951,280,65,685,1260
year2,Iowa,june,earlyplanting1,block4,9369,162,65,685,1260
year2,Iowa,june,earlyplanting2,block1,10533,229,65,565,1140
year2,Iowa,june,earlyplanting2,block2,11115,231,65,565,1140
year2,Iowa,june,earlyplanting2,block3,7332,158,69,565,1140
year2,Iowa,june,earlyplanting2,block4,6809,168,65,565,1140
year2,Iowa,june,checkplanting,block1,8380,179,65,355,930
year2,Iowa,june,checkplanting,block2,6634,119,63,355,930
year2,Iowa,june,checkplanting,block3,7216,188,65,355,930
year2,Iowa,june,checkplanting,block4,8322,137,65,355,930
year2,Iowa,june,lateplanting1,block1,3608,126,63,236,811
year2,Iowa,june,lateplanting1,block2,8671,281,63,236,811
year2,Iowa,june,lateplanting1,block3,3550,128,59,236,811
year2,Iowa,june,lateplanting1,block4,4190,147,59,236,811
year2,Iowa,june,lateplanting2,block1,989,38,59,66,641
year2,Iowa,june,lateplanting2,block2,2968,101,59,66,641
year2,Iowa,june,lateplanting2,block3,3724,120,59,66,641
year2,Iowa,june,lateplanting2,block4,2561,104,55,66,641
year2,Manitoba,lateapril,earlyplanting1,block1,4248,99,29,401,465
year2,Manitoba,lateapril,earlyplanting1,block2,4539,147,29,401,465
year2,Manitoba,lateapril,earlyplanting1,block3,4190,136,27,401,465
year2,Manitoba,lateapril,earlyplanting1,block4,4423,114,25,401,465
year2,Manitoba,lateapril,earlyplanting2,block1,1688,28,25,306,370
year2,Manitoba,lateapril,earlyplanting2,block2,3201,66,25,306,370
year2,Manitoba,lateapril,earlyplanting2,block3,3375,78,25,306,370
year2,Manitoba,lateapril,earlyplanting2,block4,3201,48,27,306,370
year2,Manitoba,lateapril,checkplanting,block1,2502,31,23,170,235
year2,Manitoba,lateapril,checkplanting,block2,1513,41,25,170,235
year2,Manitoba,lateapril,checkplanting,block3,1688,50,25,170,235
year2,Manitoba,lateapril,checkplanting,block4,1862,46,23,170,235
year2,Manitoba,lateapril,lateplanting1,block1,67,3,15,87,151
year2,Manitoba,lateapril,lateplanting1,block2,190,9,21,87,151
year2,Manitoba,lateapril,lateplanting1,block3,64,3,15,87,151
year2,Manitoba,lateapril,lateplanting1,block4,68,3,17,87,151
year2,Manitoba,lateapril,lateplanting2,block1,48,2,15,21,85
year2,Manitoba,lateapril,lateplanting2,block2,46,1,15,21,85
year2,Manitoba,lateapril,lateplanting2,block3,37,2,15,21,85
year2,Manitoba,lateapril,lateplanting2,block4,46,2,15,21,85
year2,Manitoba,may,earlyplanting1,block1,4539,134,45,401,573
year2,Manitoba,may,earlyplanting1,block2,3433,90,43,401,573
year2,Manitoba,may,earlyplanting1,block3,5121,132,43,401,573
year2,Manitoba,may,earlyplanting1,block4,5296,157,43,401,573
year2,Manitoba,may,earlyplanting2,block1,2619,57,45,306,478
year2,Manitoba,may,earlyplanting2,block2,4306,89,43,306,478
year2,Manitoba,may,earlyplanting2,block3,3957,89,41,306,478
year2,Manitoba,may,earlyplanting2,block4,4132,95,41,306,478
year2,Manitoba,may,checkplanting,block1,3608,112,41,170,343
year2,Manitoba,may,checkplanting,block2,3608,92,31,170,343
year2,Manitoba,may,checkplanting,block3,3783,118,39,170,343
year2,Manitoba,may,checkplanting,block4,1920,57,39,170,343
year2,Manitoba,may,lateplanting1,block1,815,30,35,87,260
year2,Manitoba,may,lateplanting1,block2,873,34,35,87,260
year2,Manitoba,may,lateplanting1,block3,1222,68,33,87,260
year2,Manitoba,may,lateplanting1,block4,815,26,35,87,260
year2,Manitoba,may,lateplanting2,block1,349,14,31,21,194
year2,Manitoba,may,lateplanting2,block2,698,25,31,21,194
year2,Manitoba,may,lateplanting2,block3,698,30,33,21,194
year2,Manitoba,may,lateplanting2,block4,698,30,33,21,194
year2,Manitoba,june,earlyplanting1,block1,6285,162,59,401,706
year2,Manitoba,june,earlyplanting1,block2,6401,124,49,401,706
year2,Manitoba,june,earlyplanting1,block3,8263,149,59,401,706
year2,Manitoba,june,earlyplanting1,block4,6634,119,59,401,706
year2,Manitoba,june,earlyplanting2,block1,7158,193,59,306,611
year2,Manitoba,june,earlyplanting2,block2,6169,128,59,306,611
year2,Manitoba,june,earlyplanting2,block3,7682,170,59,306,611
year2,Manitoba,june,earlyplanting2,block4,7623,149,59,306,611
year2,Manitoba,june,checkplanting,block1,3550,99,59,170,475
year2,Manitoba,june,checkplanting,block2,6518,158,59,170,475
year2,Manitoba,june,checkplanting,block3,5994,139,59,170,475
year2,Manitoba,june,checkplanting,block4,6169,98,59,170,475
